tick,servidor,eventos
584,Server-A,1
585,Server-A,18
585,Server-B,1
586,Server-A,54
586,Server-C,4
587,Server-A,44
587,Server-B,2
587,Server-C,4
588,Server-A,20
588,Server-B,2
588,Server-C,4
589,Server-A,14
589,Server-B,2
589,Server-C,2
590,Server-A,46
590,Server-C,2
591,Server-A,22
591,Server-B,4
591,Server-C,2
592,Server-A,22
592,Server-C,2
593,Server-A,40
593,Server-C,4
594,Server-A,46
595,Server-A,12
595,Server-B,2
595,Server-C,2
596,Server-A,70
596,Server-C,4
597,Server-A,60
598,Server-A,28
598,Server-B,2
598,Server-C,2
599,Server-A,36
599,Server-B,2
600,Server-A,88
601,Server-A,28
602,Server-A,48
602,Server-B,2
603,Server-A,52
603,Server-C,2
604,Server-A,80
604,Server-B,2
604,Server-C,6
605,Server-A,14
605,Server-B,2
606,Server-A,26
606,Server-B,2
606,Server-C,4
607,Server-A,48
607,Server-C,2
608,Server-A,20
608,Server-B,2
609,Server-A,16
609,Server-C,2
610,Server-A,72
610,Server-C,2
611,Server-A,52
611,Server-C,2
612,Server-A,30
612,Server-B,2
613,Server-A,70
613,Server-B,2
613,Server-C,2
614,Server-A,26
614,Server-B,2
615,Server-A,66
615,Server-C,4
616,Server-A,58
616,Server-C,2
617,Server-A,22
618,Server-A,60
618,Server-C,4
619,Server-A,64
619,Server-B,4
620,Server-A,12
620,Server-B,4
620,Server-C,2
621,Server-A,70
621,Server-B,6
622,Server-A,44
622,Server-B,4
622,Server-C,2
623,Server-A,34
623,Server-B,2
623,Server-C,2
624,Server-A,20
624,Server-B,2
624,Server-C,2
625,Server-A,32
625,Server-C,4
626,Server-A,28
626,Server-C,2
627,Server-A,70
627,Server-B,4
627,Server-C,2
628,Server-A,24
629,Server-A,62
629,Server-C,2
630,Server-A,22
630,Server-C,2
631,Server-A,84
631,Server-B,2
631,Server-C,4
632,Server-A,24
632,Server-C,2
633,Server-A,66
633,Server-C,2
634,Server-A,50
634,Server-C,4
635,Server-A,40
636,Server-A,68
637,Server-A,24
638,Server-A,34
639,Server-A,78
639,Server-B,2
639,Server-C,2
640,Server-A,30
640,Server-B,4
640,Server-C,4
641,Server-A,64
641,Server-C,2
642,Server-A,50
642,Server-B,2
642,Server-C,2
643,Server-A,26
643,Server-B,2
643,Server-C,2
644,Server-A,28
644,Server-B,2
644,Server-C,6
645,Server-A,48
645,Server-C,2
646,Server-A,16
647,Server-A,12
647,Server-B,2
647,Server-C,2
648,Server-A,22
648,Server-C,4
649,Server-A,26
649,Server-B,2
650,Server-A,44
650,Server-C,2
651,Server-A,50
651,Server-B,2
651,Server-C,4
652,Server-A,44
652,Server-C,2
653,Server-A,68
653,Server-B,2
653,Server-C,6
654,Server-A,28
654,Server-C,2
655,Server-A,76
655,Server-C,4
656,Server-A,68
656,Server-C,6
657,Server-A,14
657,Server-C,4
658,Server-A,26
659,Server-A,42
659,Server-C,2
660,Server-A,48
661,Server-A,26
661,Server-C,4
662,Server-A,40
662,Server-C,2
663,Server-A,50
664,Server-A,40
664,Server-C,4
665,Server-A,36
665,Server-C,2
666,Server-A,56
667,Server-A,70
667,Server-C,2
668,Server-A,14
668,Server-C,2
669,Server-A,54
670,Server-A,56
671,Server-A,44
671,Server-C,2
672,Server-A,34
672,Server-B,1
672,Server-C,4
673,Server-A,38
674,Server-A,44
674,Server-B,2
674,Server-C,2
675,Server-A,50
675,Server-B,2
676,Server-A,20
676,Server-B,2
676,Server-C,2
677,Server-A,16
677,Server-B,2
678,Server-A,72
678,Server-B,4
679,Server-A,48
679,Server-C,2
680,Server-A,22
681,Server-A,62
681,Server-C,6
682,Server-A,36
682,Server-B,2
683,Server-A,26
683,Server-B,4
684,Server-A,46
684,Server-B,4
685,Server-A,64
685,Server-B,2
685,Server-C,4
686,Server-A,44
686,Server-B,2
686,Server-C,2
687,Server-A,14
687,Server-B,2
688,Server-A,66
688,Server-B,2
688,Server-C,2
689,Server-A,40
689,Server-B,2
689,Server-C,2
690,Server-A,24
690,Server-C,2
691,Server-A,86
691,Server-B,2
692,Server-A,74
693,Server-A,10
693,Server-B,2
693,Server-C,2
694,Server-A,22
694,Server-C,2
695,Server-A,46
696,Server-A,60
696,Server-B,2
697,Server-A,18
697,Server-C,4
698,Server-A,14
698,Server-C,2
699,Server-A,82
699,Server-B,2
700,Server-A,22
700,Server-C,2
701,Server-A,48
701,Server-B,6
702,Server-A,94
702,Server-B,2
703,Server-A,34
703,Server-B,2
703,Server-C,2
704,Server-A,58
704,Server-B,4
704,Server-C,2
705,Server-A,20
705,Server-B,2
705,Server-C,6
706,Server-A,58
706,Server-B,6
707,Server-A,38
708,Server-A,26
708,Server-B,2
708,Server-C,4
709,Server-A,76
709,Server-B,2
710,Server-A,94
710,Server-B,4
710,Server-C,2
711,Server-A,32
711,Server-C,2
712,Server-A,20
712,Server-B,2
712,Server-C,2
713,Server-A,68
713,Server-B,4
714,Server-A,100
714,Server-B,2
715,Server-A,44
715,Server-B,2
715,Server-C,2
716,Server-A,58
717,Server-A,56
717,Server-B,2
718,Server-A,30
718,Server-C,4
719,Server-A,70
719,Server-C,2
720,Server-A,30
721,Server-A,36
722,Server-A,22
723,Server-A,18
724,Server-A,24
725,Server-A,74
726,Server-A,36
727,Server-A,16
728,Server-A,72
729,Server-A,56
730,Server-A,28
731,Server-A,14
732,Server-A,70
733,Server-A,26
734,Server-A,28
735,Server-A,16
736,Server-A,36
736,Server-B,1
737,Server-A,58
738,Server-A,48
738,Server-B,2
738,Server-C,1
739,Server-A,52
739,Server-C,4
740,Server-A,58
740,Server-B,2
740,Server-C,2
741,Server-A,16
741,Server-B,4
741,Server-C,2
742,Server-A,40
742,Server-C,4
743,Server-A,62
743,Server-B,2
743,Server-C,4
744,Server-A,48
744,Server-B,2
744,Server-C,2
745,Server-A,24
746,Server-A,66
746,Server-B,4
746,Server-C,2
747,Server-A,64
747,Server-B,2
748,Server-A,52
748,Server-B,2
748,Server-C,2
749,Server-A,62
749,Server-C,4
750,Server-A,36
750,Server-B,2
750,Server-C,6
751,Server-A,86
751,Server-B,2
751,Server-C,4
752,Server-A,2
753,Server-A,98
753,Server-B,2
754,Server-A,84
754,Server-B,4
754,Server-C,2
755,Server-A,24
755,Server-C,2
756,Server-A,86
756,Server-B,2
756,Server-C,4
757,Server-A,38
757,Server-C,4
758,Server-A,46
758,Server-C,4
759,Server-A,90
759,Server-B,2
759,Server-C,2
760,Server-A,52
760,Server-C,2
761,Server-A,46
761,Server-B,2
761,Server-C,4
762,Server-A,52
762,Server-B,2
763,Server-A,46
763,Server-C,2
764,Server-A,34
764,Server-B,4
765,Server-A,90
765,Server-B,2
765,Server-C,2
766,Server-A,16
766,Server-C,2
767,Server-A,64
767,Server-B,2
767,Server-C,4
768,Server-A,30
768,Server-B,2
768,Server-C,2
769,Server-A,84
769,Server-C,2
770,Server-A,46
770,Server-C,4
771,Server-A,30
771,Server-C,4
772,Server-A,56
772,Server-C,6
773,Server-A,52
773,Server-B,2
773,Server-C,2
774,Server-A,64
774,Server-C,2
775,Server-A,20
775,Server-C,4
776,Server-A,22
776,Server-B,2
776,Server-C,2
777,Server-A,40
777,Server-C,2
778,Server-A,48
778,Server-C,2
779,Server-A,30
779,Server-C,2
780,Server-A,56
780,Server-B,2
780,Server-C,8
781,Server-A,20
781,Server-B,2
782,Server-A,36
782,Server-C,2
783,Server-A,36
783,Server-B,2
783,Server-C,2
784,Server-A,82
784,Server-B,2
784,Server-C,2
785,Server-A,46
786,Server-A,46
786,Server-C,2
787,Server-A,90
787,Server-B,2
787,Server-C,4
788,Server-A,44
788,Server-B,2
789,Server-A,50
789,Server-C,4
790,Server-A,34
790,Server-B,2
790,Server-C,4
791,Server-A,46
791,Server-B,2
791,Server-C,2
792,Server-A,36
792,Server-B,2
793,Server-A,54
793,Server-C,10
794,Server-A,50
794,Server-C,2
795,Server-A,12
795,Server-B,88
795,Server-C,2
796,Server-A,32
796,Server-B,18
797,Server-A,66
797,Server-B,10
797,Server-C,4
798,Server-A,62
798,Server-B,2
798,Server-C,2
799,Server-A,14
800,Server-A,2
800,Server-B,2
800,Server-C,2
819,Server-A,1
819,Server-B,1
819,Server-C,1
820,Server-A,46
821,Server-A,50
821,Server-B,2
821,Server-C,4
822,Server-A,32
822,Server-B,2
822,Server-C,2
823,Server-A,54
824,Server-A,56
824,Server-C,2
825,Server-A,32
826,Server-A,22
826,Server-B,2
826,Server-C,2
827,Server-A,82
827,Server-B,2
827,Server-C,4
828,Server-A,44
829,Server-A,58
829,Server-B,2
829,Server-C,2
830,Server-A,20
830,Server-C,4
831,Server-A,60
832,Server-A,22
832,Server-B,4
833,Server-A,64
833,Server-B,2
833,Server-C,2
834,Server-A,30
834,Server-B,2
835,Server-A,38
835,Server-B,2
836,Server-A,10
836,Server-B,2
836,Server-C,2
837,Server-A,60
838,Server-A,30
839,Server-A,24
839,Server-C,2
840,Server-A,24
840,Server-B,2
840,Server-C,2
841,Server-A,74
841,Server-C,2
842,Server-A,38
842,Server-B,2
843,Server-A,14
843,Server-B,4
844,Server-A,40
844,Server-B,4
844,Server-C,8
845,Server-A,78
845,Server-B,2
846,Server-A,8
846,Server-B,2
846,Server-C,2
847,Server-A,90
847,Server-C,2
848,Server-A,30
848,Server-C,2
849,Server-A,28
849,Server-B,2
849,Server-C,2
850,Server-A,14
850,Server-B,2
851,Server-A,52
851,Server-B,2
851,Server-C,2
852,Server-A,66
852,Server-B,2
852,Server-C,4
853,Server-A,32
853,Server-C,6
854,Server-A,60
854,Server-B,2
854,Server-C,2
855,Server-A,92
855,Server-B,4
856,Server-A,26
856,Server-B,2
856,Server-C,2
857,Server-A,18
857,Server-C,2
858,Server-A,42
858,Server-C,4
859,Server-A,84
859,Server-C,2
860,Server-A,44
861,Server-A,60
861,Server-C,2
862,Server-A,66
862,Server-C,2
863,Server-A,24
863,Server-B,2
863,Server-C,2
864,Server-A,92
865,Server-A,26
865,Server-B,8
865,Server-C,2
866,Server-A,30
866,Server-B,2
866,Server-C,4
867,Server-A,52
867,Server-C,4
868,Server-A,38
868,Server-B,4
869,Server-A,34
869,Server-B,4
870,Server-A,26
871,Server-A,68
871,Server-C,4
872,Server-A,26
872,Server-C,2
873,Server-A,68
873,Server-B,4
874,Server-A,24
875,Server-A,16
876,Server-A,28
876,Server-B,2
877,Server-A,82
877,Server-B,2
878,Server-A,8
879,Server-A,16
880,Server-A,92
881,Server-A,30
882,Server-A,16
883,Server-A,32
884,Server-A,34
885,Server-A,34
886,Server-A,38
887,Server-A,26
888,Server-A,10
889,Server-A,70
890,Server-A,32
891,Server-A,40
891,Server-C,1
892,Server-A,20
893,Server-A,8
894,Server-A,32
894,Server-C,2
895,Server-A,48
896,Server-A,46
896,Server-B,1
896,Server-C,2
897,Server-A,36
897,Server-B,2
897,Server-C,2
898,Server-A,34
898,Server-B,2
898,Server-C,6
899,Server-A,28
899,Server-B,4
899,Server-C,2
900,Server-A,66
901,Server-A,10
901,Server-B,2
901,Server-C,6
902,Server-A,60
903,Server-A,66
903,Server-B,6
903,Server-C,6
904,Server-A,36
905,Server-A,68
905,Server-C,2
906,Server-A,48
906,Server-B,6
906,Server-C,4
907,Server-A,48
907,Server-B,2
907,Server-C,2
908,Server-A,84
908,Server-B,2
909,Server-A,26
909,Server-B,2
909,Server-C,2
910,Server-A,58
911,Server-A,52
911,Server-B,2
912,Server-A,40
912,Server-B,2
912,Server-C,2
913,Server-A,10
913,Server-B,2
914,Server-A,64
914,Server-B,4
915,Server-A,28
915,Server-B,2
915,Server-C,2
916,Server-A,24
917,Server-A,36
917,Server-C,2
918,Server-A,24
918,Server-C,6
919,Server-A,14
920,Server-A,24
920,Server-B,2
921,Server-A,54
921,Server-B,4
922,Server-A,48
923,Server-A,40
923,Server-C,2
924,Server-A,54
924,Server-B,4
924,Server-C,2
925,Server-A,70
925,Server-B,2
925,Server-C,4
926,Server-A,42
926,Server-B,2
927,Server-A,16
928,Server-A,50
928,Server-C,2
929,Server-A,96
929,Server-B,4
930,Server-A,8
930,Server-B,6
930,Server-C,2
931,Server-A,2
931,Server-B,2
931,Server-C,6
932,Server-B,2
933,Server-C,8
934,Server-B,2
934,Server-C,2
935,Server-C,2
936,Server-C,2
939,Server-B,6
939,Server-C,4
940,Server-C,2
941,Server-C,2
942,Server-B,4
942,Server-C,2
943,Server-B,6
943,Server-C,4
944,Server-B,2
944,Server-C,2
945,Server-B,6
946,Server-C,2
949,Server-C,4
950,Server-A,1
950,Server-B,4
950,Server-C,2
951,Server-A,116
951,Server-C,4
952,Server-A,28
952,Server-B,2
953,Server-A,30
953,Server-B,2
953,Server-C,2
954,Server-A,34
954,Server-B,2
955,Server-A,36
955,Server-C,2
956,Server-A,42
957,Server-A,36
958,Server-A,64
959,Server-A,42
959,Server-B,4
960,Server-A,50
960,Server-B,2
961,Server-A,12
962,Server-A,70
963,Server-A,60
964,Server-A,20
964,Server-B,2
965,Server-A,78
966,Server-A,24
966,Server-B,2
967,Server-A,62
967,Server-B,4
968,Server-A,22
969,Server-A,16
969,Server-B,2
970,Server-A,66
970,Server-B,6
971,Server-A,22
971,Server-B,86
972,Server-A,52
972,Server-B,6
973,Server-A,20
973,Server-B,6
974,Server-A,50
974,Server-B,2
974,Server-C,1
975,Server-A,82
975,Server-B,4
976,Server-A,50
977,Server-A,32
977,Server-B,4
978,Server-A,38
978,Server-C,2
979,Server-A,30
980,Server-A,98
980,Server-B,2
981,Server-A,62
982,Server-A,32
983,Server-A,10
983,Server-B,2
983,Server-C,2
984,Server-A,42
984,Server-B,2
984,Server-C,2
985,Server-A,52
985,Server-C,2
986,Server-A,46
986,Server-B,2
987,Server-A,40
987,Server-C,2
988,Server-A,82
988,Server-B,2
989,Server-A,46
989,Server-B,4
989,Server-C,2
990,Server-A,28
990,Server-B,2
990,Server-C,2
991,Server-A,16
991,Server-B,4
991,Server-C,6
992,Server-A,56
992,Server-B,8
992,Server-C,4
993,Server-A,28
994,Server-A,30
994,Server-B,6
994,Server-C,4
995,Server-A,28
995,Server-B,2
995,Server-C,4
996,Server-A,62
996,Server-C,4
997,Server-A,24
997,Server-C,2
998,Server-A,50
999,Server-A,34
999,Server-B,4
999,Server-C,2
1000,Server-A,61
1000,Server-B,1
1000,Server-C,5
